Ask questions about lessons and get quick support 24/7.,Hỏi câu hỏi về bài học và nhận sự hỗ trợ nhanh 24/7.
Ask something...,Hỏi điều gì đó...
Ask study questions and get quick support for lessons and assignments.,Đặt câu hỏi học tập và nhận hỗ trợ nhanh chóng cho bài học và bài tập.
Assessment,Đánh giá
Assessment added successfully,Đã thêm bài đánh giá thành công
Assessment Content (Preview/Edit),Nội dung đánh giá (Xem trước/Chỉnh sửa)
Assessment Criteria,Tiêu chí đánh giá
Assessments,Đánh giá
Assign,Giao bài
Assign a Badge,Gán huy hiệu
Assign Badge,Gán huy hiệu
Assign For,Gán cho
Assign Game,Chỉ định trò chơi
Assign or revoke gamification badges,Chỉ định hoặc thu hồi huy hiệu gamification
Assign To,Chỉ định cho
Assigned For,Được gán cho
Assignment,Bài tập
Assignment (Bài tập),Bài tập (Bài tập)
Assignment Avg,Bài tập trung bình
Assignment created successfully,Đã tạo bài tập thành công
Assignment Progress,Tiến độ bài tập
Assignment Score,Điểm bài tập
Assignment Submission,Bài nộp bài tập
Assignment Submissions,Bài tập nộp
Assignment submitted successfully,Đã nộp bài tập thành công
Assignment updated successfully,Đã cập nhật bài tập thành công
Assignments,Bài tập
Assistant,Trợ lý
at {0} minutes,lúc {0} phút
At-risk Rate,Tỉ lệ học sinh yếu
At-Risk Students (< 5.0),Học sinh điểm thấp (< 5.0)
Attach,Đính kèm
Attendance for Class - {0},Điểm danh cho lớp - {0}
Attended for,Đã tham gia
Attitude,Thái độ
Authorize Google Calendar Access,Cho phép truy cập Lịch Google
Auto,Tự động
Auto Recording,Ghi hình tự động
Auto-evaluate MCQ submissions with confidence checks and retry signals.,Tự động chấm bài trắc nghiệm với kiểm tra độ tin cậy và tín hiệu cần chấm lại.
"Auto-evaluate MCQ submissions with confidence checks and retry signals. Fast, accurate, and transparent.","Tự động đánh giá các bài gửi MCQ bằng các tín hiệu kiểm tra độ tin cậy và thử lại. Nhanh chóng, chính xác và minh bạch."
Automate the question generation process from source documents.,Tự động hóa quy trình soạn thảo bộ đề từ tài liệu nguồn.
Automatically create exercises from source documents (PDF,DOCX) with multiple cognitive levels.
Availability updated successfully,Đã cập nhật tình trạng sẵn có thành công
Available From,Có sẵn từ
Available Slots,Khung giờ khả dụng
Available Until,Có sẵn cho đến khi
Average Completion Rate,Tỷ lệ hoàn thành trung bình
Average Feedback Received,Phản hồi trung bình nhận được
AVERAGE GPA,GPA TRUNG BÌNH
Average Progress %,% tiến độ trung bình
Average Rating,Đánh giá trung bình
Average Score,Điểm trung bình
Average Watch Time,Thời gian xem trung bình
Avg Assignment Score,Điểm bài tập trung bình
Avg Completion,Mức độ hoàn thành trung bình
Avg Quiz Score,Điểm kiểm tra trung bình
Avg Time,Thời gian trung bình
Avg. Accuracy,Độ chính xác trung bình
Awaiting Grading...,Đang chờ chấm điểm...
Back,Back
Back to Config,Quay lại cấu hình
Back to Course,Quay lại khóa học
Back to Dashboard,Quay lại Dashboard
Back to Game Center,Quay lại Trung tâm trò chơi
Badge,Huy hiệu
Badge assignment created successfully,Đã tạo thành công việc gán huy hiệu
Badge assignment updated successfully,Đã cập nhật thành công việc chỉ định huy hiệu
Badge assignments deleted successfully,Đã xóa thành công nhiệm vụ huy hiệu
Badge created successfully,Huy hiệu được tạo thành công
Badge deleted successfully,Đã xóa huy hiệu thành công
Badge Gallery,Thư viện huy hiệu
Badge Management,Quản lý huy hiệu
Badge updated successfully,Đã cập nhật huy hiệu thành công
Badges,Huy hiệu
badges,huy hiệu
Badges Earned,Huy hiệu đã kiếm được
Based on student failure rates,Dựa trên tỉ lệ làm sai của học sinh
Basic Knowledge & Memorization,Kiến thức cơ bản & Ghi nhớ
Batch,Lớp học
Batch Confirmation Email Template,Mẫu email xác nhận hàng loạt
Batch deleted successfully,Đã xóa hàng loạt thành công
Batch Details,Chi tiết lớp
Batch End Date,Ngày kết thúc lớp
Batch Enrollment,Ghi danh lớp học
Batch Enrollment Confirmation,Xác nhận ghi danh lớp học
Batch Grading,Chấm điểm hàng loạt
Batch Leaderboard,Bảng xếp hạng hàng loạt
Batch Start Date,Ngày bắt đầu hàng loạt
Batch Summary,Tổng quan lớp học
Batch upload multiple papers,Tải lên hàng loạt nhiều bài làm
Batch Workflow,Chấm hàng loạt
Batches,Lớp học
Batchs,Lớp học
BELOW AVERAGE,BÀI LÀM DƯỚI TRUNG BÌNH
Best regards,Trân trọng
Best:,Tốt nhất:
Billing Details,Chi tiết thanh toán
Billing Name,Tên thanh toán
Bio,Tiểu sử
Biology,Sinh học
Blend rubric scoring,AI suggestions
"Blend rubric scoring, AI suggestions, and instructor approval in one place.","Kết hợp việc chấm điểm theo tiêu chí đánh giá, đề xuất AI và phê duyệt của người hướng dẫn ở một nơi."
Bloom Level,Cấp độ Bloom
Brand Name,Tên thương hiệu
Branding,Xây dựng thương hiệu
Break your task into small milestones and finish a draft at least one day before the deadline.,Chia nhiệm vụ của bạn thành các cột mốc nhỏ và hoàn thành bản nháp ít nhất một ngày trước thời hạn.
British Council Assessment,Kỳ thi của Hội đồng Anh
BUS-110 / Reflection Paper / 18 submissions,BUS-110 / Bài phản ánh / 18 bài nộp
Buy this course,Mua khóa học này
Bạn chỉ cần tải lên ảnh chụp hoặc file Word/PDF chứa đáp án. AI sẽ tự động đọc danh sách đáp án từ file đó để làm căn cứ chấm bài cho học sinh.,Bạn chỉ cần tải lên ảnh chụp hoặc tệp Word/PDF chứa câu trả lời. AI sẽ tự động đọc danh sách đáp án từ file đó để làm cơ sở chấm bài cho học sinh.
Bạn có chắc chắn muốn bắt đầu chấm bài cho học sinh này?,Bạn có chắc chắn muốn bắt đầu bài viết cho học sinh này không?
Bạn có chắc chắn muốn chấm TOÀN BỘ bài làm trong phiên này?,Bạn có chắc chắn muốn chấm TOÀN BỘ bài làm trong phiên này không?
Bạn có chắc chắn muốn xóa học sinh này?,Bạn có chắc chắn muốn xóa bài học này không?
Bạn có chắc chắn muốn xóa phiên này?,Bạn có chắc chắn muốn xóa phiên bản này không?
Bạn có chắc chắn muốn xóa phiên thảo luận này?,Bạn có chắc chắn muốn xóa phiên thảo luận này không?
Bạn có chắc muốn xóa ảnh này vĩnh viễn?,Bạn có chắc chắn muốn xóa hình ảnh này vĩnh viễn?
Bắt đầu cuộc hành trình mới,Bắt đầu chương trình hành động mới
Bắt đầu phiên mới,Start new version
Calculating competencies...,Tính toán năng lực...
Camera,Máy ảnh
Camera Error,Lỗi máy ảnh
Camera is not supported on this device/browser.,Máy ảnh không được hỗ trợ trên thiết bị/trình duyệt này.
Cancel,Hủy
Cancel this evaluation?,Hủy lịch đánh giá này?
Candidate number (SBD),Mã số ứng viên (SBD)
Capture multiple pages directly,Chụp trực tiếp nhiều trang
Captured,Đã chụp
Categories,Thể loại
Category,Loại
Category added successfully,Đã thêm danh mục thành công
Category deleted successfully,Đã xóa danh mục thành công
Category Name,Tên danh mục
Category updated successfully,Danh mục được cập nhật thành công
certificate,giấy chứng nhận
Certificate / Level,Chứng chỉ / Cấp độ
Certificate of Completion,Chứng nhận hoàn thành
Certificate saved successfully,Đã lưu chứng chỉ thành công
Certificates,Chứng chỉ
certificates,giấy chứng nhận
Certificates generated successfully,Chứng chỉ được tạo thành công
Certification,Chứng nhận
Certification Email Template,Mẫu email chứng nhận
Certifications,Chứng chỉ
Certifications per day,Chứng nhận mỗi ngày
Certified,Đã được chứng nhận
Certified Members,Thành viên được chứng nhận
Challenging Questions,Câu hỏi hóc búa
Champion,Nhà vô địch
Change Focus,Đổi trọng tâm
Changes saved successfully,Lưu thay đổi thành công
Chapter,Chương
Chapter added successfully,Đã thêm chương thành công
Chapter deleted successfully,Đã xóa chương thành công
Chapter moved successfully,Đã chuyển chương thành công
Chapter updated successfully,Chương được cập nhật thành công
Chapters,chương
Chatbot,Chatbot
Check,Kiểm tra
Check All Submissions,Kiểm tra tất cả các bài nộp
Check flagged answers and low-confidence cases before publishing results.,Kiểm tra các câu trả lời được gắn cờ và các trường hợp có độ tin cậy thấp trước khi công bố kết quả.
Check Submission,Kiểm tra việc gửi
Check Submissions,Kiểm tra bài nộp
Check your ranking,Kiểm tra thứ hạng của bạn
Checkout Course,Xem khóa học
Checkout Courses,Thanh toán các khóa học
Chemistry,Hóa học
Choose a color for the course card,Chọn màu cho thẻ khóa học
Choose a quiz from the system...,Chọn một bài kiểm tra trên hệ thống...
Choose a text assignment from the system...,Chọn một bài tập tự luận trên hệ thống...
Choose all answers that apply,Chọn tất cả các câu trả lời phù hợp
Choose an existing question,Chọn một câu hỏi hiện có
Choose an icon,Chọn một biểu tượng
Choose one answer,Chọn một đáp án
Chưa có dữ liệu phiên chấm MCQ.,Không có MCQ phiên bản dữ liệu.
Chưa có phiên chấm điểm,No point point
Chấm bài,Bài viết
Chấm bài hoàn tất,Hoàn thành bài viết
Chấm bài Tập LMS,LMS tập tin chấm
Chấm bài Tự luận AI,Bài viết Tự luận AI
Chấm theo Phiên,Theo phiên bản
Chấm toàn bộ,Toàn bộ điểm
Chấm Trắc nghiệm (MCQ),Trải nghiệm chấm (MCQ)
Chấm trắc nghiệm AI,AI trải nghiệm chấm
Chấm điểm & Phê duyệt,Trình duyệt điểm & phê duyệt
Chấm điểm hàng loạt (Batch),Chấm điểm hàng loạt (Đợt)
Chế độ Chấm theo Form,Chấm điểm chế độ
Chế độ Chấm theo Ảnh đáp án,Chế độ chấm theo ảnh phản hồi
Chỉ đặt câu hỏi định hướng,không đưa ra đáp án.
Chọn lớp học cụ thể,Select lớp học cụ thể
Chờ,Chờ đợi
Chụp ảnh bài làm (viết tay hoặc đánh máy). Đảm bảo ảnh đủ sáng và không bị mờ.,Chụp ảnh bài làm (viết tay hoặc đánh máy). Đảm bảo hình ảnh đủ sáng và không bị mờ.
Chụp ảnh chính diện,không chụp nghiêng.
Chữ viết tay nên rõ ràng,tránh tẩy xóa chồng chéo quá nhiều.
City,Thành phố
Class,Lớp
Class (Lớp),Lớp
Class / ID-based submission lists,Danh sách học sinh theo SBD/Lớp
Class Competency Matrix,Class Competency Matrix (Ma trận Năng lực Lớp học)
Classes,Lớp học
Classroom,Lớp học
Clear,Xóa
Clear all,Xóa tất cả
Clear History,Xóa lịch sử
Click here,Bấm vào đây
Click to upload answer file,Nhấn để tải file đáp án
Click to upload or drag and drop,Nhấp để tải lên hoặc kéo và thả
Client ID,ID khách hàng
Client Secret,Bí mật khách hàng
Close,Đóng
Closed,Đã đóng
Cloud,Đám mây
Code,Mã
CodeBox,Hộp mã
Cognitive Level (Bloom),Mức độ nhận thức (Bloom)
Collapse,Thu gọn
Collect badges by completing achievements,Thu thập huy hiệu bằng cách hoàn thành thành tích
Collect them all!,Thu thập tất cả!
College Board English,Tiếng Anh College Board
Color,Màu sắc
Comma separated keywords for SEO,Từ khóa được phân tách bằng dấu phẩy cho SEO
Comments,Bình luận
Comments by Evaluator,Nhận xét của người chấm
Community,Cộng đồng
Company Details,Chi tiết công ty
Company Email Address,Địa chỉ Email Công ty
Company Logo,Logo công ty
Company Name,Tên công ty
Company Website,Trang web công ty
Competency Radar,Radar năng lực
Compiler Message,Thông báo trình biên dịch
Compiling...,Đang biên soạn...
Complete,Hoàn thành
complete,hoàn thành
Complete the upcoming quiz to continue watching the video. The quiz will open in {0} {1}.,Hoàn thành bài kiểm tra sắp tới để tiếp tục xem video. Bài kiểm tra sẽ mở sau {0} {1}.
Complete your {0} to access the courses.,Hãy hoàn thiện {0} để truy cập các khóa học.
Completed,Đã hoàn thành
COMPLETED,ĐÃ HOÀN THÀNH
completed,hoàn thành
Completed in {0} moves and {1},Completed in {0} moves and {1}
Completion,Hoàn thành
Completion Certificate,Chứng chỉ hoàn thành
Completion Rate,Tỷ lệ hoàn thành
Completions,Hoàn thành
Composite Score,Điểm tổng hợp
Condition,Điều kiện
Confidence,Độ tin cậy
Configuration,Cấu hình
Configurations,Cấu hình
Configured by Admin in LMS Desk.,Được cấu hình bởi Admin trên Frappe Desk.
Confirm,Xác nhận
Confirm Enrollment,Xác nhận đăng ký
Confirm Your Action,Xác nhận hành động của bạn
Confirm your action to delete,Xác nhận hành động xóa của bạn
Congratulations!,Chúc mừng!
Contact Information,Thông tin liên hệ
Contact the Administrator to enroll for this course,Liên hệ với Quản trị viên để đăng ký khóa học này
Contact the Administrator to enroll for this course.,Hãy liên hệ với Quản trị viên để đăng ký khóa học này.
Contact Us,Liên hệ
Content,Nội dung
Continue Learning,Tiếp tục học
Continuous assessment and competency tracking,Đánh giá liên tục và theo dõi năng lực
Contract,Hợp đồng
Conversation,Cuộc hội thoại
Correct,Đúng
Correct Answer,Đáp án đúng
Correct order in {0}/{1} rounds,Correct order in {0}/{1} rounds
"Correctly noted ""two distinct roots"" but missing S = {1; 3/2}","Kết luận ""có 2 nghiệm phân biệt"" đúng nhưng chưa có tập S"
Country,Quốc gia
Coupon Code,Mã giảm giá
Coupon created successfully,Phiếu giảm giá được tạo thành công
Coupon deleted successfully,Đã xóa phiếu giảm giá thành công
Coupon Details,Chi tiết phiếu giảm giá
Coupon(s) deleted successfully,(Các) phiếu giảm giá đã được xóa thành công
Coupons,Phiếu giảm giá
course,khóa học
Course,Khóa học
Course & Lesson,Khóa học & Bài học
Course (Khoá học),Khóa học (Khoá học)
Course added to program successfully,Khóa học được thêm vào chương trình thành công
Course already added to program,Khóa học đã được thêm vào chương trình
Course Completion,Hoàn thành khóa học
Course Completions,Hoàn thành khóa học
Course created successfully,Khóa học được tạo thành công
Course Creator,Người tạo khóa học
Course Creators,Người tạo khóa học
Course deleted successfully,Khóa học đã được xóa thành công
Course Description,Mô tả khóa học
Course Enrollment,Đăng ký khóa học
Course Enrollments,Đăng ký khóa học
Course Image,Hình ảnh khóa học
Course List,Danh sách khóa học
Course Outline,Đề cương khóa học
Course Progress,Tiến độ khóa học
Course updated successfully,Khóa học được cập nhật thành công
Courses,Khóa học
courses,các khóa học
Courses Created,Khóa học đã tạo
Courses deleted successfully,Khóa học đã được xóa thành công
Courses Done,Khóa học đã hoàn thành
Courses in this Batch,Khóa học trong Batch này
Courses in this Program,Các khóa học trong chương trình này
Courses Mentored,Khóa học đã cố vấn
Courses must be completed in order. You can only start the next course after completing the previous one.,Các khóa học phải được hoàn thành theo thứ tự. Bạn chỉ có thể bắt đầu khóa học tiếp theo sau khi hoàn thành khóa học trước đó.
Cover Image,Ảnh bìa
Create,Tạo
Create & manage grading sessions,Tạo và quản lý các phiên chấm bài
Create & Open,Tạo & Bắt đầu
Create a batch,Tạo lớp
Create a course,Tạo khóa học
Create a Live Class,Tạo lớp học trực tiếp
Create a live class,Tạo lớp học trực tiếp
Create a new Badge,Tạo Huy hiệu mới
Create a Quiz,Tạo một câu đố
Create an Assignment,Tạo một bài tập
Create Assessment Assignment,Tạo bài tập đánh giá
Create Course,Tạo khóa học
Create Essay Grading Session,Tạo phiên chấm tự luận
Create for me 3 multiple choice review questions,Tạo cho tớ 3 câu hỏi trắc nghiệm ôn tập
Create Grading Session,Tạo phiên chấm
Create Lesson,Tạo bài học
Create Lesson Plan Now,Soạn Giáo Án Ngay
Create New,Tạo mới
Create New Lesson Plan,Soạn Giáo Án Mới
Create New Rubric,Tạo phiếu tự đánh giá mới
Create new session,Tạo phiên mới
Create New Session,Tạo Phiên Chấm Bài Mới
Create new test,Tạo đề mới
Create now,Tạo ngay
Create Program,Tạo chương trình
Create Programming Exercise,Tạo bài tập lập trình
Create Session,Tạo phiên chấm
Create Session & Start,Tạo Phiên & Bắt đầu
Create smart teaching plans with the help of AI.,Tạo kế hoạch giảng dạy thông minh với sự hỗ trợ của AI.
Create your first batch,Tạo đợt đầu tiên của bạn
Create your first course,Tạo khóa học đầu tiên của bạn
Create your first quiz,Tạo bài kiểm tra đầu tiên của bạn
Created,Tạo
Creating a batch,Tạo một lớp
Creating a course,Tạo một khóa học
Creative,Sáng tạo
Creator,Người tạo
Criteria,Tiêu chuẩn
Currency,Tiền tệ
Current file:,Tập tin hiện tại:
Current Focus,Nội dung tập trung
Current language:,Ngôn ngữ hiện tại:
Current Learning Streak,Quá trình học tập hiện tại
Current Streak,Chuỗi hiện tại
Custom Certificate Templates,Mẫu chứng chỉ tùy chỉnh
Customize,Tùy chỉnh
Customize parameters so AI can generate the most suitable question set.,Tùy chỉnh các thông số để AI tạo ra bộ đề phù hợp nhất.
Cyan,Lam
Công cụ cho Giáo viên,Công cụ dành cho giáo viên
Công cụ cho Học sinh,Công cụ học sinh
Cần sửa,Cần chỉnh sửa
Dashboard,Trang tổng quan
Dashboard for score trends,performance highlights
"Dashboard for score trends, performance highlights, and AI-based recommendations.","Trang tổng quan về xu hướng điểm số, điểm nổi bật về hiệu suất và đề xuất dựa trên AI."
Data Import,Nhập dữ liệu
Data Source,Nguồn dữ liệu
DATA UPDATED,DỮ LIỆU ĐÃ CẬP NHẬT
Date,Ngày
Date and Time,Ngày và Giờ
Date Created,Ngày tạo
Date Issued,Ngày phát hành
Day,Ngày
day streak,vệt ngày
Day Streak,Chuỗi ngày
days,ngày
"Dear {{ member_name }},

You have been enrolled in our upcoming batch {{ batch_name }}.

Thanks,
Frappe Learning","Kính gửi {{ member_name }},

Bạn đã được ghi danh vào đợt {{ batch_name }} sắp tới của chúng tôi.

Cảm ơn,
Học sinh tố"
Default Currency,Tiền tệ mặc định
Definition and formula are accurate,Công thức và định nghĩa chính xác
Delete,Xóa
Delete Chapter,Xóa chương
Delete Course,Xóa khóa học
Delete Program,Xóa chương trình
Delete question,Xóa câu hỏi
Delete Template,Xóa mẫu
Delete this chapter?,Xóa chương này?
Delete this coupon?,Xóa phiếu giảm giá này?
Delete this grading session? All submissions in this session will also be deleted.,Xóa phiên chấm điểm này? Tất cả các bài nộp trong phiên này cũng sẽ bị xóa.
Delete this lesson?,Xóa bài học này?
Deleted image,Hình ảnh đã bị xóa
Deleting the course will also delete all its chapters and lessons. Are you sure you want to delete this course?,Xóa khóa học cũng sẽ xóa tất cả các chương và bài học của nó. Bạn có chắc chắn muốn xóa khóa học này?
